,0
0,0
1,0.0420255211212428
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0.0417292302145285
18,0
19,0
20,0.0253725705410783
21,0
22,0.0466731913190954
23,0.043711751418849
24,0
25,0
26,0
27,0
28,0
29,0
30,0.0394426749040339
31,0
32,0
33,0
34,0.0402220293434733
35,0
36,0.0239361225871635
37,0
38,0
39,0.00514940396845649
40,0
41,0
42,0
43,0.0437420132510133
44,0.00148331031543217
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0.00209207253297837
219,0.15283936879014
220,5.19251497050821
221,7.95104115623071
222,2.32763796313622
223,3.43434456781602
224,3.17019447622214
225,0
226,0
227,0
228,0
229,0
230,0
231,2.59657496445385
232,4.37634265385259
233,1.25564768621459
234,1.36966034458024
235,2.78289393105956
236,0.468749401571178
237,0
238,0
239,0
240,0
241,0
242,0
243,2.20707887108609
244,4.64968737001802
245,6.01914017246088
246,7.61290496001269
247,7.9629708488105
248,3.11546962986586
249,0
250,0
251,0
252,0
253,0
254,0.110267334378703
255,2.79909769275721
256,6.85307392582349
257,18.194254148462
258,11.1562195861593
259,5.51515025643788
260,1.58545160478051
261,0
262,0
263,0
264,0
265,0
266,0
267,0.172118207001688
268,1.06885386332374
269,2.13305336387095
270,3.81145026856126
271,2.49669216827695
272,4.44601040664769
273,0
274,0
275,4.35897396258504
276,0
277,0
278,0
279,9.25927285663562
280,1.88825409732222
281,1.9244686138647
282,1.86051769637141
283,5.93049909893516
284,5.99992771842864
285,0
286,0
287,0
288,0
289,0
290,1.21898848061297
291,1.15086887779313
292,2.87371228361112
293,0.825450771208585
294,5.0024453350295
295,6.58959343802953
296,7.97283418196397
297,0
298,0
299,0
300,0
301,0
302,0.421457580701683
303,5.18341307813634
304,6.82607970997086
305,3.08360347484628
306,4.48627042267954
307,2.21710888966317
308,6.97417363822428
309,0.488970489612531
310,0
311,0
312,0
313,0
314,0.0234856761247833
315,0.897208656453253
316,2.77460862880323
317,8.45399714854109
318,5.61064941127184
319,0.449752409253356
320,2.76248820082476
321,0
322,0
323,0
324,0
325,0
326,0
327,3.61887002265565
328,8.43200432323095
329,1.54922234796824
330,6.84084133057091
331,0.0913806621230844
332,4.88543403516392
333,0.27747146312864
334,0
335,0
336,0
337,0
338,0
339,11.9322633242528
340,2.11520425714372
341,2.06025582675749
342,3.21009504792232
343,5.0768638977099
344,3.54350476769105
345,0
346,0
347,0
348,0
349,0
350,0
351,2.52391300959206
352,1.91221334392475
353,8.27220608200347
354,7.0525171376206
355,1.40487809984717
356,2.84093733505243
357,0
358,0
359,0
360,0
361,0
362,0
363,1.08909801019745
364,10.5465340621523
365,1.49588543884621
366,0.750853105224012
367,5.82068016346243
368,9.53750405764094
369,0
370,0
371,0
372,0
373,0
374,0
375,3.69540815468648
376,8.54966894999522
377,2.21391548102676
378,2.58287908032231
379,5.68608473674646
380,15.2330974378465
381,0
382,0
383,0
384,0
385,0
386,0.291588117846088
387,0.480265244224807
388,7.72743636814059
389,2.72220293675278
390,3.14499566823824
391,4.43973201014517
392,5.19089650862303
393,0
394,0
395,0
396,0
397,0
398,1.26179758802063
399,0.730454296159711
400,6.85057278094153
401,1.0463541213098
402,4.29577029978708
403,1.12837074438663
404,0.69384689835386
405,0
406,0
407,2.62568581876856
408,0
409,0
410,0
411,9.70352724033205
412,3.36181025395115
413,8.32878138567049
414,7.40062317620862
415,1.72838322339438
416,3.48026377695728
417,0
418,0
419,0
420,0
421,0
422,0.0595276793414885
423,0.63511252981908
424,8.03236367331206
425,2.93820425465039
426,1.88741748061531
427,3.48904905979742
428,0.102878172279273
429,0
430,0
431,0
432,0
433,0
434,0
435,10.6460606621283
436,6.16847897355282
437,0.23004751956012
438,0
439,0.157396633960036
440,0.205716869644056
441,0
442,0
443,0
444,0
445,0
446,0
447,6.85982688403708
448,4.89665719808426
449,1.96281296589307
450,0.105377511912434
451,1.95810204673943
452,2.1490680245571
453,0.571566585808329
454,0
455,0
456,0
457,0
458,2.27960348371836
459,17.3485366396323
460,41.2825166063576
461,4.47438076380466
462,0.446618245855734
463,7.17432571804614
464,3.58278243847662
465,0
466,0
467,0
468,0
469,0
470,0
471,30.5759943721207
472,10.8014291910574
473,3.66969124878269
474,0.299561382887311
475,4.62646607792567
476,4.5502885729824
477,0
478,0
479,0
480,0
481,0
482,23.0138364055637
483,20.1892065607214
484,7.84359082913298
485,9.16891305959992
486,3.71205224867775
487,4.79818161792219
488,3.11261362360653
489,0
490,0
491,0
492,0
493,0
494,1.54958304625232
495,1.54186965670736
496,20.6841024340854
497,1.36404536875893
498,0.441721452718783
499,3.03415399874792
500,4.00707548931899
501,0
502,0
503,0
504,0
505,0
506,0
507,21.846868004699
508,1.11751414213434
509,1.77311566507871
510,1.67663453784245
511,3.974055880698
512,2.5786289829846
